RowNumber,AadId,FullName,JobTitle,StandardTitle,CareerStageName,JobTitleName,JobType,ReportingVP,FirstRegularHireDate,MostRecentHireDate
24,15a0a372-3148-2bee-4f03-ca5d9ae281f4,Jeremy Simmons,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2009-02-02,2023-04-24
25,71c4ed48-53c4-1b36-524a-c09cb294aaa2,Omar Huang,PRINCIPAL SOFTWARE ENG LEAD,Software Engineering M5,M5,Software Engineering,PeopleManager,VP1,2010-04-12,2023-08-28
26,3a58cbd9-d0f1-60b5-766c-706ae1a3ee25,Joseph Silva,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2010-04-26,2023-08-28
27,b09ef69e-ded8-848e-938c-c6eabce51865,Dana Henry,PRINCIPAL SOFTWARE ENGG MGR,Software Engineering M5,M5,Software Engineering,PeopleManager,VP1,2011-02-16,2023-07-03
28,35c312ec-9a65-656e-3ccc-dcccabd00c12,Andrea Rose,PRINCIPAL SOFTWARE ENGR,Software Engineering M5,M5,Software Engineering,PeopleManager,VP1,2011-03-21,2023-07-17
29,057c8086-6971-7132-97e3-1c90457ba43a,Melissa Lopez,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2011-06-13,2023-07-19
30,034f7a80-6591-877d-196c-67ae95718164,Jennifer Gutierrez,PRINCIPAL CLOUD SERVICES ENGR,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP2,2011-10-03,2023-09-25
31,840567f0-064b-5c0f-aa37-8ad1dbf4053c,Mario Soto,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP6,2011-10-13,2023-07-17
32,548219b5-52f8-310c-f5f5-246a4e242a1b,Brianna Taylor,PRINCIPAL ENGINEERING MANAGER,Software Engineering M5,M5,Software Engineering,PeopleManager,VP5,2011-10-13,2023-08-01
33,c6bc2814-c89e-33ee-8c90-0599068e6c22,Steven Montgomery,PRINCIPAL SOFTWARE ENG MANAGER,Software Engineering M5,M5,Software Engineering,PeopleManager,VP5,2012-06-18,2023-07-01
34,98b5a5a9-a433-1b5a-0ba4-2b27867c8294,Abigail Norris,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2012-06-25,2023-05-15
35,812fbc61-90b4-0444-0427-8be724f3cdb9,Matthew Brown,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2012-07-16,2023-07-10
36,8d93cc91-e191-3903-257b-446df26a3c66,James Goodwin,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2012-10-01,2023-07-17
37,8f5ed307-f56b-438b-fd03-6716cef24fc3,Matthew Smith,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2013-01-01,2023-05-01
38,0297590d-8711-560d-293c-0b3a9a70d697,Leroy Walker,PRINCIPAL APPLIED SCIENCE MGR,Software Engineering M6,M6,Software Engineering,PeopleManager,VP6,2013-01-04,2023-08-09
39,bd4dea45-5a54-df33-f248-3498a7dd4b5a,David Fernandez,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2013-01-17,2023-06-05
40,213b01f1-55eb-138a-1545-ea62a5871c4c,Brian Lara,SR SERVICE ENGINEERING MGR,Service Engineering M4,M4,Service Engineering,PeopleManager,VP6,2013-01-28,2023-07-17
41,cf6b4525-732c-1e2d-f914-50997b198d59,Kristine Smith,"VP, MESSAGING AND RTAP",Software Engineering M8,M8,Software Engineering,PeopleManager,VP1,2013-03-03,2023-05-01
42,1779882e-372a-fca5-036a-81ecae46a319,Katherine Freeman,SR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2013-06-10,2023-08-14
43,814062cc-2c59-43ad-2656-1fe3a3171584,Crystal Melton,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP6,2013-07-01,2023-04-03
44,3f766273-cffe-eb96-8448-6e8b28d2b327,Christopher Carpenter,PRINCIPAL SOFTWARE ENG MGR,Software Engineering M5,M5,Software Engineering,PeopleManager,VP5,2013-07-01,2023-04-10
45,0f2e7cbf-2419-2665-5731-b490678ad936,Donald Williams,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2014-05-12,2023-08-28
46,84a10bd2-3297-1711-a49a-e4e13dfa6445,Jennifer Landry,SR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2014-07-28,2023-07-24
47,499543a0-93b8-4dbc-e01f-3ade75efba08,Brooke Jones,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2014-08-18,2023-08-07
48,2e61dec4-1bfc-2f29-cb3b-e62250938811,Scott Lee,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP6,2014-11-03,2023-09-18
49,06fd03bd-775f-cc22-6c6e-31a0d854dda3,Kristen Moyer,"PARTNER, AI-NATIVE EXPERIENCES",Software Engineering IC7,M7,Software Engineering,PeopleManager,VP6,2014-11-26,2023-07-17
50,8ddc368b-adc0-e5d0-e921-d595650a67dd,Patrick Sims,PRINCIPAL UX ENG MANAGER,Software Engineering M5,M5,Software Engineering,PeopleManager,VP6,2015-02-02,2023-05-08
51,76e96f68-28a5-86c8-b3ae-7e9c6228bea3,Susan Shelton,SR. M365 ACE ENGINEER,Service Engineering IC4,IC4,Service Engineering,IndividualContributor,VP6,2015-02-09,2023-07-15
52,29f940d2-cba6-bbdb-05ad-d02c50c0fbd4,John Nixon,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP5,2015-08-10,2023-08-07
53,3d3a8b3d-97c0-646b-1ece-e5d153c659c3,David Flowers,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2015-11-02,2023-09-18
54,ba5eb0c4-480b-d3d5-0ff5-71d1d76b1434,Joanne Liu,BAS REGIONAL SERVICE ENGINEER,Service Engineering IC3,IC3,Service Engineering,IndividualContributor,VP1,2016-05-02,2023-05-30
55,6d357254-b8b9-a84d-685b-8589175393c1,Krystal Nelson,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP1,2016-05-31,2023-09-18
56,b2966ccb-2a5d-b0a5-8892-652a77764ea8,Alicia Welch,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2016-06-13,2023-09-25
57,0e6b5226-4279-d108-ccab-0ab12c496881,Crystal Valdez,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2016-07-05,2023-08-07
58,6e7a8bd8-de92-3d5c-2ead-7c88a8355210,Jacqueline Bailey,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP5,2016-07-18,2023-08-21
59,42da4c34-b521-3975-5611-c3bf903caa33,Nathan Mullen,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2016-08-08,2023-05-01
60,947a8c2c-d23d-f462-a7f0-8816bb6e750a,James Roman,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP6,2016-11-07,2023-07-03
61,5275e502-169d-fafa-3fb0-ca0087383be8,Shawn Lewis,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP1,2017-04-03,2023-07-24
62,e9f0e18c-71f0-8a22-e1f6-efc3cdf4a2b0,Diana Ewing,SOFTWARE ENGINEER,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP1,2017-05-30,2023-06-19
63,3a5e09b8-0239-9b8a-9d37-41e991702430,Lisa Lopez,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC6,IC6,Software Engineering,IndividualContributor,VP5,2017-07-05,2023-05-22
64,7462d6e6-aedf-a05c-d5ae-b94b7ecef499,Johnny Yu,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP5,2017-08-21,2023-04-17
65,c3bc79ca-8ecc-61f9-f7fa-2eaf3ed2d17c,Nicholas Erickson,SR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2017-10-16,2023-07-10
66,d68b2d04-1994-a4f8-c4ee-226901fda4ce,April Morales,PRINCIPAL SOFTWARE ENGR MNGR,Software Engineering M5,M5,Software Engineering,PeopleManager,VP5,2017-10-30,2023-09-25
67,c749ae86-317f-97ab-a3ab-fb7efd6b5a52,Allison Thomas,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2017-11-06,2023-06-26
68,1ac21fef-91a3-dab5-c951-e9f244d88c49,Kevin Oliver,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2017-12-04,2023-08-28
69,8698cd2f-3a38-c286-b6f0-265922efba93,John Mueller,SR. SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2018-01-29,2023-05-15
70,6e9f5b64-7f39-9c7e-4e0b-f62fa401f9a4,Jacob Prince,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2018-02-07,2023-08-14
71,850b2af3-f2be-72ef-f716-a7e27168eb7a,Melissa White,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP5,2018-03-05,2023-08-14
72,37fd52cc-dc2a-f0a5-ec6b-bea18a947d46,Matthew Arnold,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2018-06-11,2023-06-05
73,941c3de9-f3e8-2b74-d93e-70a602ada042,William James,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP5,2018-07-09,2023-06-19
74,2294f26c-d41a-c048-f883-8f8c1b4800fc,Jose Ballard,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP7,2018-08-06,2023-09-18
75,bb28a0ad-fb41-b419-c88e-12dcce1b2c1d,Loretta Moore,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2018-10-29,2023-09-05
76,dde52f16-7edc-809b-003c-1235178a55ea,Christopher Coleman,SR CLOUD NETWORK ENGR,Cloud Network Engineering IC4,IC4,Cloud Network Engineering,IndividualContributor,VP1,2018-11-12,2023-08-14
77,9d4d4ca3-06fe-4f9b-00b4-595c0f289596,Connie Williams,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2019-01-28,2023-09-11
78,4fe77c16-c899-ecdd-4dee-a71c495faa58,Virginia Green,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP1,2019-07-01,2023-08-28
79,904f652d-6fd3-4ce2-8cfa-d0bbc095d844,Gabriel Reid,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2019-07-07,2023-09-11
80,0d5d1d8e-90b8-a145-25f2-8e248ff666e1,Jennifer Wilson,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2019-07-29,2023-04-03
81,7a72321f-7440-7fec-3423-e2282803c4d9,Michelle Lewis,SENIOR DATA ENGINEER,Data Engineering IC4,IC4,Data Engineering,IndividualContributor,VP2,2019-09-09,2023-06-12
82,ae1c7664-abb0-b751-1136-e7eed7708f15,Michael Warner,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2019-12-16,2023-07-31
83,d100e4c2-8cd0-78a4-3906-c34fc51af9c9,William Crawford,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2020-04-20,2023-07-10
84,2f992896-f147-7c84-e13e-419a7379de9a,Aaron Chapman,SOFTWARE ENGINEER,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2020-06-15,2023-04-15
85,ba12ea20-15d4-7b29-75ea-115f6dd69607,Heather Nichols,PRINCIPAL SOFTWARE ENGINEER LE,Software Engineering M5,M5,Software Engineering,PeopleManager,VP2,2020-07-20,2023-04-10
86,a1010798-faba-66b1-05c7-e4ccdb1682b4,David Thomas,SOFTWARE ENGINEER ||,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2020-10-11,2023-09-27
87,72f6950e-a937-18ca-3040-4c06d1a4dbde,Sally Hooper,SITE RELIABILITY ENGINEER II,Site Reliability Engineering IC3,IC3,Site Reliability Engineering,IndividualContributor,VP6,2020-12-21,2023-04-10
88,74d8ad04-029a-e9ae-7f27-edd75b55dec9,Andrew Jones,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2021-02-16,2023-07-24
89,97431b38-8273-5dba-58f1-20513cf056ea,Michael Lara,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2021-08-09,2023-09-01
90,3f5ce520-a9e9-b6ed-63cd-9b36caf29b59,Michael Nichols,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2021-08-23,2023-05-15
91,5bd167d6-fa86-6b8d-04e8-6161233a8919,Carrie Dunn,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP6,2021-08-26,2023-05-08
92,060f359e-140d-03fb-0154-274f059f475d,Daniel Escobar,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2022-02-07,2023-04-24
93,4d3bebcf-60cc-6c7d-0085-244423314b28,Alex Benton,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2022-05-16,2023-05-22
94,e6bd3eaf-162d-e2de-64f3-a2605c9394bd,John Thomas,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2022-05-16,2023-09-05
95,734a227c-b4af-5ff4-4190-a6a23cad21b8,Chloe Hahn,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
96,dcf67f48-d6ba-6f32-222e-fb4e6ad3a269,Amy Mitchell,SOFTWARE QUALITY ENG,Software Quality Engineering IC1,IC1,Software Quality Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
97,dfd7b86e-35b9-659f-1a3d-52c300172e20,Edward Livingston,SOFTWARE ENGINEER,Software Engineering IC1,IC1,Software Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
98,7625306c-15ad-e18c-9177-b634cfd8129a,John West,SOFTWARE ENGINEER,Software Engineering IC1,IC1,Software Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
99,394884cd-fdd0-fb81-b99d-dcfffb924a2b,Stephanie Pena,SOFTWARE ENGINEER,Software Engineering IC1,IC1,Software Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
100,3a101c40-62f6-1c80-d52a-efa895073e34,Douglas Young,SOFTWARE ENGINEER,Software Engineering IC1,IC1,Software Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
101,860d5c1a-d654-e9cb-7ea2-8facf9c1ef82,Jennifer Summers,SOFTWARE ENGINEER,Software Engineering IC1,IC1,Software Engineering,IndividualContributor,VP1,2022-05-23,2023-06-19
102,826bf441-bbb6-aeda-6c58-118a3720a4ad,Michael Wright,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2022-07-04,2023-08-07
103,3e20a7b8-0a5a-c133-f90d-a433ff5e0caf,Nathan Bell,PRINCIPAL SW ENGINEERING MANAG,Software Engineering M5,M5,Software Engineering,PeopleManager,VP1,2023-04-01,2023-04-01
104,e5766dac-8fe1-3ea2-e2a0-e8e969d16f55,Angela Brooks,SR SOFTWARE QUALITY ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP4,2023-04-01,2023-04-01
105,26ccae70-4f8d-8bfb-9e6d-1832fc2eedba,Valerie Hoffman,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2023-04-01,2023-04-01
106,d65825a9-acd0-0995-fb5b-5c5902c2a4f4,Michael Wood,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2023-04-01,2023-04-01
107,7d61c158-a54b-4ad4-8f71-0fbd70e393b7,Adrian Gilbert,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP4,2023-04-01,2023-04-01
108,060c6640-3394-5b48-759c-78836c5357e6,Melinda Vincent,PRINCIPAL SOFTWARE ENG MANAGER,Software Engineering M5,M5,Software Engineering,PeopleManager,VP1,2023-04-01,2023-04-01
109,f60e068d-46d3-a4b4-883d-c62a80805cec,Sara Wright,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2023-04-01,2023-04-01
110,581ad09a-c2f2-9fed-37bb-9db4e064df5d,Robert Oconnor,SOFTWARE ENGINEER - MICROSOFT,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2023-04-01,2023-04-01
111,5f86f740-ca18-097b-34b5-15764220e262,Carla Arroyo,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2023-04-01,2023-04-01
112,704cca01-8079-798c-ed2d-1f4dd1f5134c,Maria Patterson,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP1,2023-04-01,2023-04-01
113,df4fafce-a8bd-6a9f-ec4b-e8c0449b162e,Julian Blankenship,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2023-04-01,2023-04-01
114,7144165b-bddc-1465-4031-ee1bc849bf40,Sheri Cooper,SR SOFTWARE QUALITY ENGINEER,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP4,2023-04-01,2023-04-01
115,0f3005cd-8aa4-9458-528b-ce7944f057d9,Jessica Freeman,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2023-04-01,2023-04-01
116,e4b5038b-dfe4-7e95-66b8-5649ae8befdc,Morgan Wood,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2023-04-02,2023-04-02
117,ec4f8867-32ba-7bbc-769a-8de87938aab8,Meredith Hampton,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP2,2023-04-03,2023-04-03
118,6383eb95-e0dd-cde4-0f95-3567103f151e,Michael Martin,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP8,2023-04-03,2023-04-03
119,7acf3402-c38d-9cd9-74a5-7a996c478c40,Justin Allen,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2023-04-03,2023-04-03
120,a5e473c0-d36a-a06d-848b-88dd45437d6c,Jose Johnson,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP6,2023-04-03,2023-04-03
121,9fd93944-b360-e327-d039-f489f0f4cd8c,Michael Rhodes,PRINCIPAL SOFTWARE ENGINEER,Software Engineering IC5,IC5,Software Engineering,IndividualContributor,VP1,2023-04-03,2023-04-03
122,ffc0403d-6a09-034a-465a-8f15f933bdd5,Sally King,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2023-04-03,2023-04-03
123,922d554a-4ff3-628f-bac8-da49b4939a9c,Molly Anderson,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2023-04-03,2023-04-03
124,f636fa3d-3f15-3f12-0369-347575f3a6b2,Richard Sullivan,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2023-04-03,2023-04-03
125,1a4db604-ee6c-dfb1-96bd-54bd110d8261,Jordan Rodriguez,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP2,2023-04-03,2023-04-03
126,704df8bb-7fdd-257e-c016-e006481ed1ac,Stacey Smith,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP5,2023-04-03,2023-04-03
127,0b591294-373a-4e10-0284-12fa287ba5bb,Joshua Harrington,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP1,2023-04-03,2023-04-03
128,99349dee-cf40-9189-c7f0-8543dd4d7f13,Bradley Castro,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2023-04-03,2023-04-03
129,7e2d7054-0cad-1264-3fac-ebd77a569b92,Alfred Houston,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP1,2023-04-03,2023-04-03
130,ecb70cde-aab8-c2de-a06f-11eb28248508,John Dunn,SOFTWARE ENGINEER,Software Engineering IC2,IC2,Software Engineering,IndividualContributor,VP5,2023-04-03,2023-04-03
131,788ee679-7918-7212-1d7d-149471225c38,Marc Simpson,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2023-04-03,2023-04-03
132,142e820a-b0a4-0486-1726-2075c531fd89,Ashley Miller,SOFTWARE ENGINEER 2,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP5,2023-04-03,2023-04-03
133,25e0311b-b5d4-313f-7d44-dce9a423fb2c,Stefanie Parker,SENIOR SOFTWARE ENGINEER,Software Engineering IC4,IC4,Software Engineering,IndividualContributor,VP6,2023-04-03,2023-04-03
134,69b798a7-ec3c-1ddc-e364-6b730f7f1646,Tammy Jenkins,SOFTWARE ENGINEER II,Software Engineering IC3,IC3,Software Engineering,IndividualContributor,VP6,2023-04-03,2023-04-03
